## [BeGaze]
## Converted from:	\\Ivr-x-1134-0601\shareddocs\sm\procenko001-002.idf
## Date:	25.04.2015 14:47:46
## Version:	BeGaze 3.5.101
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Trial
## Trial Count:	21
## Uses Plane File:	False
## Number of Samples:	39861
## Reversed:	none
## [Run]
## Subject:	procenko001-002
## Description:	Run27
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;108)
## Calibration Point 2:	Position(1728;270)
## Calibration Point 3:	Position(1440;972)
## Calibration Point 4:	Position(192;810)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1134-06012-NRB
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],L Event Info
22793558952,SMP,18,559.33,210.30,Fixation
22793562959,SMP,18,558.45,211.52,Fixation
22793566987,SMP,18,557.18,213.33,Fixation
22793570969,SMP,18,552.93,213.82,Fixation
22793574955,SMP,18,550.45,215.35,Fixation
22793578995,SMP,18,548.95,216.28,Fixation
22793582968,SMP,18,549.66,218.94,Fixation
22793586961,SMP,18,547.29,219.15,Fixation
22793590957,SMP,18,546.64,220.17,Fixation
22793594968,SMP,18,550.87,220.83,Fixation
22793598976,SMP,18,548.29,221.41,Fixation
22793602956,SMP,18,546.74,221.46,Fixation
22793606991,SMP,18,546.54,220.68,Fixation
22793610952,SMP,18,545.69,220.87,Fixation
22793614999,SMP,18,543.90,221.29,Fixation
22793618954,SMP,18,541.40,221.51,Fixation
22793622990,SMP,18,542.76,219.43,Fixation
22793626953,SMP,18,541.29,218.29,Fixation
22793630969,SMP,18,540.79,217.99,Fixation
22793634990,SMP,18,540.30,216.69,Fixation
22793638975,SMP,18,536.56,216.18,Fixation
22793642954,SMP,18,533.46,215.58,Fixation
22793646984,SMP,18,530.82,214.85,Fixation
22793650963,SMP,18,529.04,216.07,Fixation
22793654997,SMP,18,527.51,216.50,Fixation
22793658953,SMP,18,527.93,216.48,Fixation
22793662983,SMP,18,529.10,216.20,Fixation
22793666960,SMP,18,529.39,217.70,Fixation
22793670990,SMP,18,527.75,218.58,Fixation
22793674952,SMP,18,528.04,219.17,Fixation
22793678982,SMP,18,527.82,220.83,Fixation
22793682967,SMP,18,528.53,221.74,Fixation
22793686957,SMP,18,531.19,222.73,Fixation
22793690957,SMP,18,534.52,223.55,Fixation
22793694994,SMP,18,535.68,222.74,Fixation
22793698964,SMP,18,539.17,222.31,Fixation
22793702963,SMP,18,541.50,222.46,Fixation
22793706955,SMP,18,544.77,222.89,Fixation
22793710970,SMP,18,547.04,223.87,Fixation
22793714958,SMP,18,548.66,224.43,Fixation
22793718977,SMP,18,551.20,224.08,Fixation
22793722954,SMP,18,551.52,223.05,Fixation
22793726983,SMP,18,553.21,222.97,Fixation
22793730991,SMP,18,553.82,222.52,Fixation
22793734989,SMP,18,554.00,222.00,Fixation
22793738954,SMP,18,551.89,220.78,Fixation
22793742996,SMP,18,546.97,219.58,Fixation
22793746990,SMP,18,547.15,217.18,Fixation
22793750965,SMP,18,545.52,217.00,Fixation
22793754958,SMP,18,543.95,215.47,Fixation
22793758963,SMP,18,543.30,214.43,Fixation
22793762975,SMP,18,541.01,214.36,Fixation
22793766959,SMP,18,540.42,215.61,Fixation
22793770952,SMP,18,541.11,216.50,Fixation
22793774966,SMP,18,540.69,219.89,Fixation
22793778961,SMP,18,540.91,218.59,Fixation
22793782977,SMP,18,540.77,220.44,Fixation
22793786955,SMP,18,543.11,221.73,Fixation
22793790964,SMP,18,546.05,224.03,Fixation
22793794973,SMP,18,544.53,226.59,Fixation
22793798995,SMP,18,545.49,229.01,Fixation
22793802955,SMP,18,545.11,231.87,Fixation
22793806982,SMP,18,545.26,233.55,Fixation
22793810993,SMP,18,545.46,235.19,Fixation
22793814956,SMP,18,544.79,235.42,Fixation
22793818954,SMP,18,542.58,235.29,Fixation
22793822965,SMP,18,541.41,235.06,Fixation
22793826972,SMP,18,543.35,234.87,Fixation
22793830996,SMP,18,544.47,235.19,Fixation
22793834955,SMP,18,543.22,233.00,Fixation
22793838898,SMP,18,544.39,232.68,Fixation
22793842956,SMP,18,544.00,230.86,Fixation
