## [BeGaze]
## Converted from:	\\Ivr-x-1134-0601\begazedatafromstimulipc\fw\data4Paul\ARU\EMIP3_2_1\ARU-P05-[fbc020e3-72c0-4603-ae37-7180360735d5]\ARU-P05-eye_data.idf
## Date:	27.07.2015 22:59:53
## Version:	BeGaze 3.5.101
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	8325
## Reversed:	none
## [Run]
## Subject:	ARU-P05
## Description:	Run5
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RMX0993602-1450//SMI_RED250mobile
## Operating System :	6.2.9200
## IView X Version:	4.2.0.0
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	, RIGHT, POR
##
Time,Type,Trial,R POR X [px],R POR Y [px],R Event Info
825357823,SMP,1,756.6950,159.9882,Fixation
825361822,SMP,1,758.3943,159.6991,Fixation
825365822,SMP,1,757.5996,155.4800,Fixation
825369822,SMP,1,755.4730,155.1182,Fixation
825373822,SMP,1,755.9759,159.2855,Fixation
825377822,SMP,1,754.8378,156.9517,Fixation
825381821,SMP,1,756.7666,161.1990,Fixation
825385821,SMP,1,756.8084,161.5760,Fixation
825389821,SMP,1,757.8760,160.6543,Fixation
825393821,SMP,1,759.0530,158.2341,Fixation
825397821,SMP,1,753.8290,160.5461,Fixation
825401820,SMP,1,754.6703,160.8993,Fixation
825405820,SMP,1,753.3904,163.4534,Fixation
825409820,SMP,1,755.0737,165.5336,Saccade
825413820,SMP,1,757.6565,166.5627,Saccade
825417820,SMP,1,764.7851,165.5790,Saccade
825421820,SMP,1,791.5265,167.6402,Saccade
825425820,SMP,1,804.5987,166.8720,Saccade
825429820,SMP,1,804.1535,166.1399,Saccade
825433820,SMP,1,809.2610,163.4261,Saccade
825437820,SMP,1,816.9588,164.6981,Saccade
825441820,SMP,1,823.1883,161.7695,Saccade
825445820,SMP,1,824.2707,159.8494,Saccade
825449820,SMP,1,825.2957,155.3426,Saccade
825453821,SMP,1,829.3664,153.7507,Fixation
825457821,SMP,1,830.4357,152.1011,Fixation
825461821,SMP,1,831.8050,150.7077,Fixation
825465821,SMP,1,830.3711,156.2911,Fixation
825469821,SMP,1,828.0148,158.4107,Fixation
825473821,SMP,1,826.3860,157.2691,Fixation
825477821,SMP,1,827.1419,160.1544,Fixation
825481821,SMP,1,828.8139,161.6319,Fixation
825485821,SMP,1,827.3871,161.4847,Fixation
825489821,SMP,1,828.3831,163.7240,Fixation
825493821,SMP,1,830.1255,163.0581,Fixation
825497821,SMP,1,829.3995,164.5361,Fixation
825501821,SMP,1,828.4979,163.5524,Fixation
825505821,SMP,1,828.5186,165.0725,Fixation
825509821,SMP,1,830.0057,166.0776,Fixation
825513821,SMP,1,829.4260,164.6265,Fixation
825517821,SMP,1,830.9169,166.1404,Fixation
825521821,SMP,1,830.7819,166.6977,Fixation
825525821,SMP,1,829.1677,165.9022,Fixation
825529821,SMP,1,829.8399,167.1426,Fixation
825533821,SMP,1,829.1603,168.1578,Fixation
825537821,SMP,1,830.9983,168.9482,Fixation
825541821,SMP,1,835.3685,159.8825,Blink
825545822,SMP,1,861.0192,199.9178,Blink
825549821,SMP,1,799.0066,147.0320,Blink
825553821,SMP,1,0.0000,0.0000,Blink
825557821,SMP,1,0.0000,0.0000,Blink
825561820,SMP,1,0.0000,0.0000,Blink
825565820,SMP,1,0.0000,0.0000,Blink
825569820,SMP,1,0.0000,0.0000,Blink
825573820,SMP,1,0.0000,0.0000,Blink
825577819,SMP,1,0.0000,0.0000,Blink
825581819,SMP,1,0.0000,0.0000,Blink
825585819,SMP,1,0.0000,0.0000,Blink
825589819,SMP,1,0.0000,0.0000,Blink
